 frequency       s11r            s11i            s12r            s12i            s21r            s21i            s22r            s22i           
 8.91250938e+08  9.98704512e-01 -4.82860269e-02  3.18835814e-04  8.97699653e-03 -9.89772625e-01  5.20221037e-02  9.58288118e-01 -2.66710559e-02 
 1.00000000e+09  9.98364189e-01 -5.42619226e-02  4.01943525e-04  1.00695752e-02 -9.89343260e-01  5.84189178e-02  9.58148130e-01 -2.99534367e-02 
 1.12201845e+09  9.97946544e-01 -6.07766683e-02  5.05724287e-04  1.12943859e-02 -9.88809938e-01  6.55142095e-02  9.57971271e-01 -3.36657650e-02 
 1.25892541e+09  9.97412734e-01 -6.82167590e-02  6.36462825e-04  1.26670319e-02 -9.88136771e-01  7.34817574e-02  9.57752115e-01 -3.77237870e-02 
 1.41253754e+09  9.96745502e-01 -7.64930620e-02  8.00799645e-04  1.42049287e-02 -9.87291339e-01  8.24014185e-02  9.57474873e-01 -4.23181150e-02 
 1.58489319e+09  9.95895735e-01 -8.58962413e-02  1.00766479e-03  1.59272699e-02 -9.86225506e-01  9.24054968e-02  9.57130588e-01 -4.73657665e-02 
 1.77827941e+09  9.94852351e-01 -9.61470259e-02  1.26723914e-03  1.78553844e-02 -9.84892038e-01  1.03578095e-01  9.56687530e-01 -5.32409837e-02 
 1.99526231e+09  9.93500507e-01 -1.08006928e-01  1.59860522e-03  2.00118323e-02 -9.83174256e-01  1.16334744e-01  9.56119986e-01 -5.99522048e-02 
 2.23872114e+09  9.91846613e-01 -1.20911130e-01  2.00555973e-03  2.24235611e-02 -9.81089220e-01  1.30167365e-01  9.55441512e-01 -6.69627243e-02 
 2.51188643e+09  9.89759200e-01 -1.35424699e-01  2.51964714e-03  2.51168083e-02 -9.78447457e-01  1.45766119e-01  9.54575462e-01 -7.50105437e-02 
 2.81838293e+09  9.87127503e-01 -1.51728973e-01  3.16451420e-03  2.81212002e-02 -9.75132759e-01  1.63176243e-01  9.53495969e-01 -8.39217937e-02 
 3.16227766e+09  9.83779502e-01 -1.70181351e-01  3.98278374e-03  3.14657739e-02 -9.70900340e-01  1.82889671e-01  9.52105895e-01 -9.42471427e-02 
 3.54813389e+09  9.79688053e-01 -1.90198870e-01  4.99294316e-03  3.51865899e-02 -9.65718242e-01  2.04398738e-01  9.50401274e-01 -1.05447459e-01 
 3.98107171e+09  9.74488074e-01 -2.12852578e-01  6.26947918e-03  3.93103344e-02 -9.59132037e-01  2.28619050e-01  9.48227904e-01 -1.18243179e-01 
